Address,Possesion,Furnishing,Buildup_area,Carpet_area,Bathrooms,Parking,Price,Brokerage,Floor,Per_sqft_price,BHK,Total_bedrooms
"SB Purushottam Towers, Prabhadevi, Mumbai",Ready to move,Fully Furnished,2500.0,1500.0,3.0,2,67500000,650000.0,15.0,27000.0,4.0,4.0
"Varad Heights, Sai Baba Nagar, Chembur, Mumbai",Ready to move,Semi Furnished,980.0,973.0,2.0,1,28000000,280000.0,16.0,28570.0,3.0,3.0
"Kanakia Paris, Sant Dnyaneshwar Nagar, Bandra East, Mumbai",Ready to move,Semi Furnished,1000.0,854.0,2.0,1,32500000,330000.0,20.0,32500.0,2.0,2.0
"Tagore Road, Santacruz West, Mumbai",Ready to move,Fully Furnished,1500.0,1584.483292,1.0,2,67500000,67500000.0,12.0,45000.0,3.0,3.0
"Tricity Natraj, Union Park, Chembur, Mumbai",Ready to move,Unfurnished,1300.0,1108.0,2.0,2,34300000,0.0,17.0,26380.0,3.0,3.0
"Asshna Samadhan, Best Nagar, Goregaon West, Mumbai",Ready to move,Fully Furnished,1050.0,664.0,2.0,2,23000000,230000.0,22.0,21900.0,2.0,2.0
"Godrej Urban Park, Chandivali, Powai, Mumbai",Ready to move,Semi Furnished,800.0,613.0,2.0,1,18800000,190000.0,15.0,23500.0,2.0,2.0
"Sainath Manali CHS Ltd, Hanuman Chowk, Mulund East, Mumbai",Ready to move,Semi Furnished,930.0,630.0,2.0,1,15600000,160000.0,13.0,16770.0,2.0,2.0
"New Home Paradise, Global City, Virar West, Mumbai",Ready to move,Fully Furnished,900.0,600.0,2.0,1,4500000,89901.8671,12.0,5000.0,2.0,2.0
"Sajjan Wadi, Mulund East, Mumbai",Ready to move,Unfurnished,950.0,721.1111614,1.0,1,21000000,21000000.0,8.0,22110.0,3.0,3.0
"Prathampad Apartments malad w, Malvani, Malad West, Mumbai",Ready to move,Semi Furnished,700.0,605.4556047,2.0,1,17000000,17000000.0,12.0,24290.0,2.0,2.0
"Rishabh chs, Lower Parel, Mumbai",Ready to move,Unfurnished,900.0,689.9965309,1.0,0,22500000,22500000.0,17.0,25000.0,2.0,2.0
"Four Bungalows, Andheri West, Mumbai",Ready to move,Semi Furnished,2600.0,1798.738444,3.037920718,3,82500000,82500000.0,29.0,31730.0,4.0,5.0
"OHANA, I C Colony, Borivali West, Mumbai",Ready to move,Unfurnished,650.0,436.0659274,1.0,1,11900000,11900000.0,9.0,18310.0,1.0,2.0
"Sheth Montana, Sambhaji Nagar, Mulund West, Mumbai",Ready to move,Semi Furnished,1305.0,1093.0,3.0,3,30500000,330000.0,39.0,23400.0,3.0,3.0
"Lodha Park, Lower Parel, Mumbai",Ready to move,Semi Furnished,1350.0,1092.0,3.0,2,52500000,530000.0,78.0,38890.0,3.0,3.0
"Palacio bandra, Pali Hill, Bandra West, Mumbai",Ready to move,Unfurnished,1200.0,1073.000566,2.0,1,47500000,47500000.0,13.0,39580.0,3.0,2.0
"Chandak Nischay, Ambawadi, Dahisar East, Mumbai",Ready to move,Semi Furnished,376.0,342.0,2.0,1,8700000,0.0,22.0,23140.0,1.0,1.0
"Trishul Trishul Apartment, Seven Bunglow, Andheri West, Mumbai",Ready to move,Unfurnished,520.0,410.0,1.0,1,20400000,200000.0,7.0,39230.0,1.0,1.0
"Oberoi sky city Borivali East, Food Corporation Of India Warehouse, Borivali East, Mumbai",Ready to move,Unfurnished,1550.0,1387.492879,1.0,2,49600000,49600000.0,62.0,32000.0,3.0,3.0
"Romell Orbis, Tarun Bharat, Andheri East, Mumbai",Ready to move,Unfurnished,525.0,425.0,2.0,1,12000000,0.0,18.0,22860.0,1.0,1.0
"Romell Empress, Eksar, Borivali West, Mumbai",Ready to move,Unfurnished,850.0,550.0,2.0,1,15000000,160000.0,18.0,17650.0,2.0,2.0
"Parinee 11 West, MHADA Colony, Juhu, Mumbai",Ready to move,Unfurnished,844.0,744.0,2.0,1,30000000,0.0,13.0,35550.0,1.0,1.0
"Kanungo Pinnacolo, Chandan Shanti, Mira Road East, Mumbai",Ready to move,Unfurnished,1060.0,711.0,2.0,1,9339000,0.0,22.0,8810.0,2.0,2.0
"Chandivali, Powai, Mumbai",Ready to move,Unfurnished,1650.0,1071.147449,1.0,1,43000000,43000000.0,18.0,26060.0,3.0,3.0
"Borivali West, Mumbai",Ready to move,Unfurnished,600.0,430.0,2.0,2,11500000,110000.0,12.0,19170.0,1.0,1.0
"Yarrow Building Nahar Chandivali Mumbai, Chandivali, Powai, Mumbai",Ready to move,Semi Furnished,2050.0,758.6821239,1.0,2,22000000,22000000.0,18.0,10730.0,2.0,2.0
"Parinee Essence, Sai Nagar, Kandivali West, Mumbai",Ready to move,Semi Furnished,532.0,444.0,2.0,1,10000000,100000.0,25.0,18800.0,1.0,1.0
"Kamla Avenue, I C Colony, Borivali West, Mumbai",Ready to move,Fully Furnished,979.0,655.0726639,2.0,1,22000000,22000000.0,12.0,22470.0,2.0,2.0
"Rustomjee Avenue M, Global City, Virar West, Mumbai",Ready to move,Unfurnished,1075.0,737.0,3.0,1,7250000,150000.0,7.0,6740.0,3.0,3.0
"yashodham vihar virar west, Agashi, Virar West, Mumbai",Ready to move,Semi Furnished,1200.0,688.8321118,2.979854557,1,6500000,65808.00334,4.0,5420.0,3.0,2.0
"Gurukrupa Gangav, Sindhu Wadi, Ghatkopar East, Mumbai",Ready to move,Semi Furnished,1086.0,945.0,3.0,0,33300000,367450.6853,16.0,30660.0,3.0,3.0
"Veena Serenity, Sai Baba Nagar, Chembur, Mumbai",Ready to move,Semi Furnished,650.0,450.0,1.0,1,11500000,100000.0,15.0,17690.0,1.0,1.0
"Lokhandwala Spring Leaf, Hanuman Nagar, Kandivali East, Mumbai",Ready to move,Fully Furnished,850.0,750.0,3.0,1,22000000,220000.0,7.0,25880.0,3.0,3.0
"The Baya Junction, Pestom Sagar Colony, Ghatkopar East, Mumbai",Ready to move,Unfurnished,560.0,428.0,2.0,1,11000000,100000.0,20.0,19640.0,1.0,1.0
"Wadhwa The Nest, D.N.Nagar, Andheri West, Mumbai",Ready to move,Unfurnished,2385.0,1673.631455,1.0,1,55000000,55000000.0,13.0,23060.0,3.0,4.0
"Airport Area, Juhu, Mumbai",Ready to move,Semi Furnished,975.0,1064.137682,1.0,2,45000000,45000000.0,8.0,46150.0,2.0,2.0
"Hubtown Seasons, Sindhi Society, Chembur, Mumbai",Ready to move,Semi Furnished,1058.0,855.0,2.0,1,26000000,0.0,14.0,24570.0,2.0,2.0
"Versova, Andheri West, Mumbai",Ready to move,Semi Furnished,1780.0,1240.0,3.0,3,52500000,530000.0,21.0,29490.0,3.0,3.0
"Radius Epitome at Imperial Heights, Best Nagar, Goregaon West, Mumbai",Ready to move,Semi Furnished,1660.0,1221.488556,1.0,2,31000000,245660.704,40.0,18670.0,3.0,3.0
"Pinnacolo And Pinnacolo NX, Chandan Shanti, Mira Road East, Mumbai",Ready to move,Semi Furnished,750.0,450.0,2.0,1,7235000,121910.4103,21.0,9650.0,1.0,1.0
"Prithvi Pride Phase I, Shivar Garden, Mira Road East, Mumbai",Ready to move,Semi Furnished,965.0,490.0,2.0,1,6500000,101053.9522,20.0,6740.0,1.0,1.0
"Shapoorji Pallonji Vicinia, Sainath Nagar, Powai, Mumbai",Ready to move,Unfurnished,1000.0,888.0,2.0,1,26500000,260000.0,22.0,26500.0,2.0,2.0
"Atmaram tower, LIC Colony, Borivali West, Mumbai",Ready to move,Unfurnished,950.0,707.3675596,1.0,1,17500000,17500000.0,12.0,18420.0,2.0,2.0
"Shapoorji Pallonji Vicinia, Chandivali, Powai, Mumbai",Ready to move,Unfurnished,1050.0,888.0,2.0,1,23000000,230000.0,22.0,21900.0,2.0,2.0
"ACME Complex, Prem Nagar, Goregaon West, Mumbai",Ready to move,Unfurnished,650.0,450.0,2.0,0,12000000,0.0,7.0,18460.0,1.0,1.0
"Siddharth Nagar Complex, Siddharth Nagar, Borivali East, Mumbai",Ready to move,Semi Furnished,585.0,435.0,2.0,1,10200000,100000.0,7.0,17430.0,1.0,1.0
"Tilak Nagar, Chembur, Mumbai",Ready to move,Semi Furnished,713.0,713.0,2.0,2,20000000,200000.0,10.0,28050.0,2.0,2.0
"Amal Aspen Garden, Jay Prakash Nagar, Goregaon East, Mumbai",Ready to move,Semi Furnished,870.0,768.0,2.0,1,22000000,200000.0,18.0,25290.0,2.0,2.0
"Rajesh White City, Singh Agri Estate, Kandivali East, Mumbai",Ready to move,Unfurnished,1550.0,1202.0,3.0,2,35000000,350000.0,40.0,22580.0,3.0,3.0
"Siddharth Nagar, Ghatkopar West, Mumbai",Ready to move,Semi Furnished,820.0,669.6574455,1.0,1,19000000,19000000.0,15.0,23170.0,2.0,2.0
"Divine Aspen Park, Cama Industrial Estate, Goregaon East, Mumbai",Ready to move,Semi Furnished,740.0,593.0,2.0,1,20000000,184310.5091,17.0,27030.0,2.0,2.0
"Transcon Tirumala Habitats, Govardhan Nagar, Mulund West, Mumbai",Ready to move,Unfurnished,1877.0,1218.269479,4.0,2,38400000,498145.1304,39.0,20470.0,4.0,4.0
"Lakshmiben Chedda Nagar, Nalasopara West, Mumbai",Ready to move,Unfurnished,850.0,600.0,1.0,1,4600000,90000.0,4.0,5410.0,2.0,2.0
"Hubtown Akruti Gardenia, Kashigaon, Mira Road East, Mumbai",Ready to move,Unfurnished,620.0,430.0,2.0,2,6500000,10105.2286,22.0,10480.0,1.0,1.0
"Garodia Palace, Railway Police Colony, Ghatkopar East, Mumbai",Ready to move,Unfurnished,1600.0,1200.0,4.0,2,43500000,430000.0,30.0,27190.0,3.0,3.0
"Gundecha Valley Of Flowers, Thakur Village, Kandivali East, Mumbai",Ready to move,Semi Furnished,825.0,630.0,2.0,1,17500000,180000.0,8.0,21210.0,2.0,2.0
"Solitaire Solitaire Heights, Somwari Bazar, Malad West, Mumbai",Ready to move,Fully Furnished,600.0,430.0,2.0,0,10500000,110000.0,19.0,17500.0,1.0,1.0
"Oberoi Sky City Tower E, Magathane, Borivali East, Mumbai",Ready to move,Unfurnished,1380.0,1073.0,3.0,2,40900000,410000.0,62.0,29640.0,3.0,3.0
"Lodha New Cuffe Parade Lodha Enchante 41st To 45th Floor, Sion East, Sion, Mumbai",Ready to move,Semi Furnished,616.0,514.0,1.0,1,16400000,160000.0,43.0,26620.0,1.0,1.0
"Shree Dham Splendor New Link Road, Anand Nagar, Andheri West, Mumbai",Ready to move,Unfurnished,569.0,598.2616621,1.0,0,14800000,14800000.0,20.0,26010.0,1.0,1.0
"Ashok Gardens, Sewri, Mumbai",Ready to move,Semi Furnished,950.0,1045.022677,1.0,1,37500000,37500000.0,34.0,39470.0,2.0,2.0
"ANA Avant Garde Phase 1, Chandan Shanti, Mira Road East, Mumbai",Ready to move,Unfurnished,997.0,650.0,2.0,1,10000000,0.0,21.0,10030.0,2.0,2.0
"Trishul Baug, Sindhi Society, Chembur, Mumbai",Ready to move,Fully Furnished,1400.0,971.0730454,1.0,1,25000000,25000000.0,7.0,17860.0,2.0,2.0
"Chatrapati Shivaji Raje Complex, Chatrapati Shivaji Raje Complex, Kandivali West, Mumbai",Ready to move,Unfurnished,340.0,250.0,1.0,1,4200000,42000.0,7.0,12350.0,1.0,1.0
"Evershine Crown, Thakur Village, Kandivali East, Mumbai",Ready to move,Unfurnished,1100.0,897.0,2.0,1,28500000,290000.0,28.0,25910.0,3.0,3.0
"Parinee Essence, Ambedkar Nagar, Kandivali West, Mumbai",Ready to move,Unfurnished,650.0,557.0,2.0,1,12500000,130000.0,23.0,19230.0,2.0,2.0
"Chheda Heights, Rajiv Gandhi Nagar, Bhandup West, Mumbai",Ready to move,Fully Furnished,800.0,626.0,2.0,2,14500000,150000.0,8.0,18130.0,2.0,2.0
"Ajmera Zeon, Bhakti Park, Wadala East, Mumbai",Ready to move,Semi Furnished,1260.0,930.0,2.0,1,34000000,340000.0,40.0,26980.0,2.0,2.0
"INDRAYANI CHS, Tilak Nagar, Chembur, Mumbai",Ready to move,Unfurnished,620.0,443.3456026,1.0,0,10500000,10500000.0,15.0,16930.0,1.0,1.0
"Unknown, Khar West, Mumbai",Ready to move,Semi Furnished,900.0,1349.372371,1.0,1,41500000,41500000.0,12.0,46110.0,3.0,3.0
"Mandapeshwar Road, Ashok Nagar, Borivali West, Mumbai",Ready to move,Unfurnished,680.0,504.8831743,1.0,1,12200000,12200000.0,8.0,17940.0,1.0,1.0
"Arkade Earth, Kanjurmarg East, Mumbai",Ready to move,Fully Furnished,750.0,466.0,1.0,1,14000000,140000.0,22.0,18670.0,1.0,1.0
"Lodha Fiorenza, Cama Industrial Estate, Goregaon East, Mumbai",Ready to move,Semi Furnished,1700.0,1300.0,3.0,2,47500000,450000.0,45.0,27940.0,3.0,3.0
"Cosmos Legend, Global City, Virar West, Mumbai",Ready to move,Semi Furnished,650.0,415.0,2.0,1,2700000,54000.0,12.0,4150.0,1.0,1.0
"Mother Dairy Road, Nehru Nagar, Kurla East, Mumbai",Ready to move,Semi Furnished,725.0,513.9998849,1.0,1,12000000,12000000.0,18.0,16550.0,1.0,2.0
"Shantidham, Kannamwar Nagar II, Vikhroli East, Mumbai",Ready to move,Semi Furnished,500.0,444.0,2.0,1,8000000,103.8283983,22.0,16000.0,1.0,1.0
"Tilak Nagar, Chembur, Mumbai",Ready to move,Fully Furnished,1230.0,824.3611267,1.0,0,25000000,25000000.0,15.0,20320.0,3.0,4.0
"Pant Nagar, Ghatkopar East, Mumbai",Ready to move,Unfurnished,1150.0,983.8068285,1.0,1,32500000,32500000.0,16.0,28260.0,3.0,3.0
"Harsh Plaza, Silver Park, Mira Road East, Mumbai",Ready to move,Semi Furnished,630.0,450.8880423,2.0,1,5100000,53458.76377,7.0,8100.0,1.0,1.0
"Gundecha Zenith, Sarvoday Parshwanath Nagar, Mulund West, Mumbai",Ready to move,Semi Furnished,1630.0,920.0,3.0,1,28500000,290000.0,21.0,17480.0,3.0,3.0
"Bachraj Residency, Global City, Virar West, Mumbai",Ready to move,Semi Furnished,920.0,406.6265468,3.0,1,5400000,0.0,15.0,5870.0,2.0,2.0
"Gavan Pada, Neelam Nagar, Mulund East, Mumbai",Ready to move,Unfurnished,614.0,584.117591,1.0,1,14200000,14200000.0,17.0,23130.0,2.0,2.0
"Virat Nagar, Virar West, Mumbai",Ready to move,Fully Furnished,668.0,270.6042621,2.0,1,2150000,29556.90275,7.0,3220.0,1.0,1.0
"Shapoorji Pallonji Alpine Shapoorji Pallonji, Thakur Village, Kandivali East, Mumbai",Ready to move,Unfurnished,1259.0,1049.0,3.0,2,39000000,390000.0,54.0,30980.0,3.0,3.0
"BDD Chawl, Lower Parel, Mumbai",Ready to move,Fully Furnished,670.0,560.0,1.0,1,21000000,210000.0,7.0,31340.0,1.0,1.0
"Seven Eleven Apna Ghar Phase II Plot A, Kashimira, Mira Road East, Mumbai",Ready to move,Unfurnished,557.0,523.1896591,3.0,1,5366000,160000.0,15.0,9630.0,1.0,2.0
"Shree ganesh aangan, Singh Agri Estate, Kandivali East, Mumbai",Ready to move,Fully Furnished,1350.0,967.218157,1.0,1,23500000,23500000.0,14.0,17410.0,3.0,3.0
"Runwal Bliss, Kanjurmarg East, Mumbai",Ready to move,Unfurnished,895.0,789.0,2.0,2,24000000,240000.0,39.0,26820.0,2.0,2.0
"Sai Heritage, Morya Nagar, Nalasopara West, Mumbai",Ready to move,Semi Furnished,610.0,360.0,1.0,1,2900000,58000.0,11.0,4750.0,1.0,1.0
"Salangpur Salasar Aarpan, Kanakia Park, Mira Road East, Mumbai",Ready to move,Semi Furnished,730.0,490.0,2.0,1,6550000,65000.0,8.0,8970.0,1.0,1.0
"Jankalyan Nagar, Malad West, Mumbai",Ready to move,Unfurnished,587.0,487.0119752,1.0,1,10000000,10000000.0,23.0,17040.0,1.0,2.0
"Platinum Life, D.N.Nagar, Andheri West, Mumbai",Ready to move,Semi Furnished,1100.0,900.0,3.0,1,37500000,380000.0,16.0,34090.0,3.0,3.0
"Amardeep Anutham, Nav Indraprastha CHS, Mulund East, Mumbai",Ready to move,Semi Furnished,950.0,675.0,2.0,1,19500000,190000.0,23.0,20530.0,2.0,2.0
"Raj Shree Nirman Builders Krishna Horizon, Morya Nagar, Nalasopara West, Mumbai",Ready to move,Semi Furnished,555.0,388.0,1.0,2,2100000,0.0,9.0,3780.0,1.0,1.0
"KRISHIKA PLAZA  CO OP HOUSING SOCIETY, Virar East, Mumbai",Ready to move,Unfurnished,550.0,384.8002992,1.0,1,2800000,49269.00889,4.0,5090.0,1.0,1.0
"Celestial Tower, Nirmal Nagar, Bhandup West, Mumbai",Ready to move,Unfurnished,695.0,576.5966745,1.0,2,14500000,14500000.0,21.0,20860.0,2.0,2.0
"Rite Luxuria, Deendayal Nagar, Mulund East, Mumbai",Ready to move,Unfurnished,585.0,420.0,2.0,1,12000000,120000.0,8.0,20510.0,1.0,1.0
"Seven Eleven Apna Ghar Phase II Plot A, Kashimira, Mira Road East, Mumbai",Ready to move,Unfurnished,504.0,467.8422278,3.0,1,4558000,100000.0,15.0,9040.0,1.0,2.0
"Wadhwa Atmosphere O2, Mulund West, Mumbai",Ready to move,Semi Furnished,1050.0,630.0,2.0,1,17500000,180000.0052,46.0,16670.0,2.0,2.0
"RNA Mirage, Hanuman Nagar, Worli, Mumbai",Ready to move,Semi Furnished,1890.0,1800.0,2.0,2,92500000,930000.0,27.0,48940.0,3.0,3.0
"Marol Village, Andheri East, Mumbai",Ready to move,Semi Furnished,700.0,684.2951476,1.0,1,19500000,19500000.0,11.0,27860.0,2.0,2.0
"Yamuna Nagar, Andheri West, Mumbai",Ready to move,Unfurnished,1200.0,980.0,2.0,0,36000000,0.0,12.0,30000.0,3.0,3.0
"K Raheja Vistas, Sainath Nagar, Powai, Mumbai",Ready to move,Semi Furnished,1451.0,1008.0,3.0,1,33500000,340000.0,20.0,23090.0,3.0,3.0
"Prerana Siddhi Apartment, Dahanukar Wadi, Kandivali West, Mumbai",Ready to move,Fully Furnished,500.0,400.0,2.0,1,10500000,110000.0,10.0,21000.0,1.0,1.0
" Om Vishramyog CHS, Ashok Nagar, Borivali West, Mumbai",Ready to move,Semi Furnished,650.0,550.0,2.0,2,16000000,14384057.09,4.0,24610.0,2.0,2.0
"Oberoi Sky City Tower E, Magathane, Borivali East, Mumbai",Ready to move,Unfurnished,1790.0,1393.0,4.0,3,69000000,690000.0,62.0,38550.0,4.0,4.0
"Sethia Imperial Avenue, Padmaba Nagar, Malad East, Mumbai",Ready to move,Fully Furnished,800.0,330.0,2.0,0,10000000,100000.0,40.0,12500.0,1.0,1.0
"Virar Bolinj Sai Aashirwad CHSL, Gokul Township, Virar West, Mumbai",Ready to move,Semi Furnished,765.0,450.0,1.0,1,4300000,40000.0,14.0,5620.0,1.0,1.0
"Indira Nagar, Andheri East, Mumbai",Ready to move,Fully Furnished,460.0,400.0,1.0,0,13000000,130000.0,3.0,28260.0,1.0,1.0
"Oberoi Springs, Bhagat Singh II, Goregaon West, Mumbai",Ready to move,Unfurnished,1650.0,1058.511209,1.0,2,35200000,357604.0811,35.0,21340.0,3.0,2.0
"beach house, Juhu Tara, Juhu, Mumbai",Ready to move,Semi Furnished,1850.0,1928.46213,3.0,2,125000000,125000000.0,8.0,67570.0,3.0,3.0
"Sunteck West World, Naigaon East, Mumbai",Ready to move,Unfurnished,500.0,392.0,2.0,1,3300000,66000.0,22.0,6600.0,1.0,1.0
"Asha Nagar, Kandivali East, Mumbai",Ready to move,Semi Furnished,900.0,700.0,2.0,1,16000000,160000.0,12.0,17780.0,2.0,2.0
"Tilak Nagar, Chembur, Mumbai",Ready to move,Fully Furnished,650.0,650.0,2.0,2,18000000,180000.0,15.0,27690.0,2.0,2.0
"Kanakia Silicon Valley, Krishna Nagar, Powai, Mumbai",Ready to move,Semi Furnished,1000.0,565.0,2.0,1,19000000,190000.0,28.0,19000.0,2.0,2.0
"Hiranandani Gardens Glen Ridge, Hiranandani Gardens, Powai, Mumbai",Ready to move,Unfurnished,2200.0,1650.0,4.0,2,139500000,1390000.0,31.0,63410.0,4.0,4.0
"Sahakar Heights, Shivar Garden, Mira Road East, Mumbai",Ready to move,Semi Furnished,650.0,400.0,2.0,1,6000000,61030.86028,7.0,9230.0,1.0,1.0
"Reliable Garden, Naigaon East, Mumbai",Ready to move,Semi Furnished,550.0,435.1766995,2.0,1,2400000,48000.0,7.0,4360.0,1.0,2.0
"Man Opus, Chandan Shanti, Mira Road East, Mumbai",Ready to move,Unfurnished,1050.0,700.0,2.0,2,9800000,150000.0,22.0,9330.0,2.0,2.0
"Runwal Bliss, Kanjurmarg East, Mumbai",Ready to move,Unfurnished,1100.0,724.0,2.0,1,20000000,200000.0,50.0,18180.0,2.0,2.0
"Thakur Village, Kandivali East, Mumbai",Ready to move,Semi Furnished,600.0,447.0,2.0,1,11500000,110000.0,9.0,19170.0,1.0,1.0
"JP North Barcelona, Kashimira, Mira Road East, Mumbai",Ready to move,Semi Furnished,580.0,475.0,2.0,0,7300000,150000.0,25.0,12590.0,1.0,1.0
"Postal Colony, Chembur, Mumbai",Ready to move,Unfurnished,820.0,650.0,2.0,1,18500000,190000.0,15.0,22560.0,2.0,2.0
"Ajmera Redwood Building, Bhakti Park, Wadala East, Mumbai",Ready to move,Unfurnished,435.0,370.0,2.0,0,9600000,96000.0,7.0,22070.0,1.0,1.0
"Bandra West, Mumbai",Ready to move,Fully Furnished,6000.0,4550.000799,3.0,4,350000000,350000000.0,20.0,58330.0,4.0,4.0
"Ajmera Zeon, Bhakti Park, Wadala East, Mumbai",Ready to move,Semi Furnished,2340.0,1661.0,3.0,1,55000000,550000.0,40.0,23500.0,3.0,3.0
"Pant Nagar, Ghatkopar East, Mumbai",Ready to move,Unfurnished,1600.0,992.206489,1.0,1,29500000,29500000.0,10.0,18440.0,3.0,3.0
"Kalpataru Crest Wing B Avalon, Rajiv Gandhi Nagar, Bhandup West, Mumbai",Ready to move,Unfurnished,1250.0,807.0,2.0,1,19400000,190000.0,36.0,15520.0,2.0,2.0
"Dosti Acres, Antop Hill, Wadala, Mumbai",Ready to move,Semi Furnished,660.0,660.0,1.0,1,21500000,0.0,14.0,32580.0,2.0,2.0
"Nahar Water Lily And White Lily, Sainath Nagar, Powai, Mumbai",Ready to move,Unfurnished,800.0,680.0,2.0,1,19200000,0.0,18.0,24000.0,2.0,2.0
"Grand Vista, Parsi Colony, Dadar East, Mumbai",Ready to move,Semi Furnished,2300.0,1999.999808,1.0,2,110000000,110000000.0,14.0,47830.0,4.0,4.0
"Momin Nagar, Jogeshwari West, Mumbai",Ready to move,Unfurnished,550.0,450.0,2.0,0,12500000,130000.0,15.0,22730.0,1.0,1.0
"Nahar Jonquille and Jamaica, Sainath Nagar, Powai, Mumbai",Ready to move,Fully Furnished,970.0,630.0,2.0,1,19200000,190000.0,20.0,19790.0,2.0,2.0
"Poonam Vista B and C wing, Global City, Virar West, Mumbai",Ready to move,Semi Furnished,610.0,390.5150769,2.0,1,3600000,71998.36124,11.0,5900.0,1.0,1.0
"Sea Gundecha Trillium, Thakur Village, Kandivali East, Mumbai",Ready to move,Unfurnished,1600.0,1250.0,3.0,2,42500000,430000.0,21.0,26560.0,3.0,3.0
"Ansal Whispering Meadows, Ghati Pada, Mulund West, Mumbai",Ready to move,Fully Furnished,1300.0,898.0,4.0,2,24000000,0.0,17.0,18460.0,3.0,3.0
"Kalpataru Woodsville, Chandivali, Powai, Mumbai",Ready to move,Unfurnished,2000.0,1240.309715,1.0,1,53000000,53000000.0,20.0,26500.0,4.0,4.0
"Chauhan Chamunda Classic, Siddhi Vinayak Nagar, Mira Road East, Mumbai",Ready to move,Fully Furnished,1105.0,870.0,2.0,1,13000000,3652801.609,14.0,11760.0,2.0,2.0
"Homes Tulsi Niwas CHS, Tilak Nagar, Chembur, Mumbai",Ready to move,Semi Furnished,758.0,640.0,2.0,1,15000000,150000.0,12.0,19790.0,2.0,2.0
"Byculla West, Byculla, Mumbai",Ready to move,Unfurnished,726.0,531.5338447,1.0,1,14000000,14000000.0,21.0,19230.0,1.0,1.0
"Jankalyan Nagar, Malad West, Mumbai",Ready to move,Fully Furnished,988.0,690.0,3.0,2,22500000,100000.0,9.0,22770.0,3.0,3.0
"Skycity Oberoi, Khande Rao Dongari, Borivali East, Mumbai",Ready to move,Unfurnished,1800.0,1584.909928,1.0,3,67500000,67500000.0,52.0,37500.0,4.0,4.0
"Sunteck Signature Island, Bandra Kurla Complex, Bandra East, Mumbai",Ready to move,Unfurnished,7000.0,4550.0,6.0,4,350000000,350000039.5,20.0,50000.0,6.0,6.0
"Cosmos Majestic Tower, Prabhadevi, Mumbai",Ready to move,Semi Furnished,2700.0,2500.0,4.0,2,110000000,1100000.0,30.0,40740.0,4.0,4.0
"Sangeeta apartment panch Marg yari road, SV Patel Nagar, Andheri West, Mumbai",Ready to move,Unfurnished,1050.0,843.3401342,1.0,1,29000000,29000000.0,7.0,27620.0,2.0,2.0
"Vraj Tiara, Adarsh Nagar, Worli, Mumbai",Ready to move,Unfurnished,2300.0,1190.0,3.0,2,85000000,850000.0,50.0,36960.0,3.0,3.0
"Newlook Bhavya Elite, Sion East, Wadala, Mumbai",Ready to move,Unfurnished,660.0,586.0,2.0,0,17000000,170000.0,40.0,25760.0,2.0,2.0
"Star Sky Sayba Heights, Vatsalabai Naik Nagar, Kurla East, Mumbai",Ready to move,Semi Furnished,708.0,534.0,2.0,1,10900000,0.0,17.0,15390.0,2.0,2.0
"Sunder Nagar, Malad West, Mumbai",Ready to move,Semi Furnished,1200.0,900.0,3.0,1,27500000,146552.0233,7.0,22920.0,3.0,3.0
"Godrej The Trees, Pirojshanagar, Vikhroli East, Mumbai",Ready to move,Semi Furnished,610.0,495.0,2.0,3,20000000,0.0,16.0,32790.0,1.0,1.0
"Deep Pride A To E Wing, Morya Nagar, Nalasopara West, Mumbai",Ready to move,Semi Furnished,590.0,391.9868509,2.0,2,3000000,59613.84135,7.0,5080.0,1.0,1.0
"Nahur East, Bhandup East, Mumbai",Ready to move,Fully Furnished,437.0,400.0,2.0,2,10000000,100000.0,20.0,22880.0,1.0,1.0
"Sivaji park cadel road, Dadar West, Mumbai",Ready to move,Semi Furnished,525.0,702.6245978,1.0,1,21100000,21100000.0,5.0,40190.0,1.0,1.0
"Pestom sagar, Indira Nagar, Chembur, Mumbai",Ready to move,Semi Furnished,750.0,560.1891705,1.0,2,11100000,11100000.0,4.0,14760.0,1.0,2.0
"Prabhadevi, Mumbai",Ready to move,Unfurnished,1025.0,1047.80657,1.0,1,37500000,37500000.0,22.0,36590.0,2.0,2.0
"JP North Celeste Wing D, Chandan Shanti, Mira Road East, Mumbai",Ready to move,Semi Furnished,999.0,685.0,2.0,1,8500000,0.0,17.0,8510.0,2.0,2.0
"On request , Mhatre Wadi, Borivali West, Mumbai",Ready to move,Unfurnished,1250.0,810.3204387,1.0,1,26500000,26500000.0,7.0,21230.0,3.0,3.0
"Kenarc Premia, Tilak Nagar, Chembur, Mumbai",Ready to move,Unfurnished,850.0,634.0,2.0,1,17500000,180000.0,16.0,20590.0,2.0,2.0
"V3 Manhar Residency, Mhatre Wadi, Dahisar West, Mumbai",Ready to move,Unfurnished,1100.0,899.0,3.0,1,25500000,250000.0,12.0,23180.0,3.0,3.0
"Rommell Serene Chs Ltd, I C Colony, Borivali West, Mumbai",Ready to move,Unfurnished,600.0,516.9039511,1.0,2,12000000,12000000.0,22.0,20000.0,1.0,2.0
"Parinee 11 West, MHADA Colony, Juhu, Mumbai",Ready to move,Unfurnished,1315.0,1215.0,3.0,1,65800000,0.0,13.0,50040.0,3.0,3.0
